id,senderId,receiverId,message,timestamp,attachments
cm73solfu0001u6fc8iqn1h1a,cm725dgxt000xu6h4670vuanc,cm725903q003vu64gz54a56bf,नई सिंचाई योजना का प्रस्ताव। कृपया समीक्षा करें और स्वीकृति प्रदान करें। सम्पूर्ण विवरण संलग्न है।,2025-02-02 11:30:00,"[{""url"":""http://example.com/irrigation_proposal.pdf"",""fileName"":""irrigation_proposal.pdf""}]"
cm73solgg0003u6fc462ai9fi,cm725dhjp001ku6h46h56cs13,cm7258yvs000ju64g3zejfyij,ग्राम में स्वच्छता अभियान की रिपोर्ट - 80% लक्ष्य पूरा। शौचालय निर्माण कार्य प्रगति पर है।,2025-02-03 09:15:00,[]
cm73solgr0005u6fcuwt4bfgw,cm725hplz01p5u6o4lsir0e48,cm7258zgd0023u64ghmpek1vu,आगामी किसान मेले की तैयारियों की जानकारी। कृपया मुख्य अतिथि के रूप में उपस्थित होने का कष्ट करें।,2025-02-04 14:45:00,"[{""url"":""http://example.com/kisan_mela_details.pdf"",""fileName"":""kisan_mela_details.pdf""}]"
cm73solh30007u6fc4byw7kb5,cm725dgwf000wu6h4xx4n22q9,cm7258zsz0030u64gfqx73pkd,"प्रधानमंत्री आवास योजना के तहत आवंटित घरों की प्रगति रिपोर्ट। 45 घर पूर्ण, 30 निर्माणाधीन।",2025-02-05 08:20:00,"[{""url"":""http://example.com/pmay_progress.xlsx"",""fileName"":""pmay_progress.xlsx""}]"
cm73solhq0009u6fctchum7em,cm725dhob001nu6h4w6prlf4d,cm7258zcx001tu64g6si75dwm,"तत्काल: पेयजल समस्या, पाइपलाइन मरम्मत के लिए बजट स्वीकृति आवश्यक। ग्राम वासी परेशान हैं।",2025-02-06 16:00:00,[]
cm73solie000bu6fcslbdwlmn,cm725dgto000uu6h4jaf7uft4,cm725900p003mu64gt3kgxkln,ग्राम पंचायत में नए सौर ऊर्जा प्रोजेक्ट का प्रस्ताव। 25 स्ट्रीट लाइट और 10 सोलर पंप शामिल हैं।,2025-02-07 13:30:00,"[{""url"":""http://example.com/solar_project.pdf"",""fileName"":""solar_project.pdf""}]"
cm73solj3000du6fc7nuerrue,cm725gclc00w4u6o4et9hcbjz,cm7258z310011u64gwz91b2dg,आंगनवाड़ी केंद्र के लिए नए पोषण कार्यक्रम की रूपरेखा। कृपया कार्यान्वयन में सहयोग करें।,2025-02-08 11:00:00,[]
cm73soljp000fu6fcq9o80sxj,cm725gcbm00vyu6o4yu0n0zas,cm725903q003vu64gz54a56bf,ग्राम सभा की मंजूरी के बाद नई सड़क निर्माण का प्रस्ताव। विस्तृत प्रोजेक्ट रिपोर्ट संलग्न।,2025-02-09 15:45:00,"[{""url"":""http://example.com/road_construction.pdf"",""fileName"":""road_construction.pdf""}]"
cm73solkd000hu6fc9ul64yv3,cm725dgfe000bu6h40byv631f,cm7258z310011u64gwz91b2dg,मनरेगा के तहत नए कार्य की स्वीकृति। 200 श्रमिकों को रोजगार मिलेगा। कृपया कार्य आवंटन करें।,2025-02-10 10:30:00,[]
cm73solku000ju6fc4ujxlnde,cm725dfx50000u6h4y67rc83j,cm7258yni0000u64g9hccfzs7,अत्यंत आवश्यक: बाढ़ नियंत्रण उपायों की समीक्षा बैठक। मानसून से पहले तैयारी जरूरी।,2025-02-11 09:00:00,"[{""url"":""http://example.com/flood_control.pdf"",""fileName"":""flood_control.pdf""}]"
